anonymized_location_id,anonymized_brand_id (brands contain multiple locations),location_address,location_city,location_state,location_zip_code,Day of location_creation,location_latitude,location_longitude,stars_avg,service_type,check_avg,venue_type,location_name,Cuisine Types
19,2184.0,1810 S. Main Street,Salt Lake City,UT,84115,2018-02-07,40.7305,-111.8919316,,unknown,mid,cafe,Salt Lake City,"Casual, Fine Dining, Takeout"
26,1866.0,16761  Bernardo  Ctr.  Dr,San Diego,CA,92128,2019-04-05,33.0171972,-117.0743975,4.3,unknown,mid,casual_dining,Urge - Rancho Bernardo,
27,1866.0,2002  South  Coast  Hwy.,Ocanside,CA,92054,2019-04-05,33.1720729,-117.3591228,4.4,unknown,mid,casual_dining,Urge - Oceanside,
29,2217.0,16765  Bernardo Center  Dr,San Diego,CA,92128,2019-04-05,33.0175275,-117.0740298,4.3,unknown,mid,casual_dining,TBR - Rancho Bernardo,
30,2217.0,5500  Carmel  Mountain  Rd,San Diego,CA,92130,2019-04-05,32.9288731,-117.1975497,4.8,unknown,mid,casual_dining,TBR - Carmel Valley,
31,1499.0,5550  Carmel  Mountain  Rd  #113,San Diego,CA,92130,2019-04-05,32.9288725,-117.1975487,4.2,unknown,mid,casual_dining,Mason Ale Works - Carmel Valley,
32,1868.0,13940 Lee Jackson Memorial Hwy,Chantilly,VA,20151,2019-04-10,38.8944359,-77.4288925,4.2,fast_casual,low,fast_casual,Sheesh - Chantilly,"Brunch, Casual, Family Friendly, Halal, Mediterranean, Outdoor Seating"
33,1868.0,"8190 Strawberry Ln, Ste 4",Falls Church,VA,22042,2019-04-10,38.8727605,-77.2282915,4.1,fast_casual,low,fast_casual,Sheesh - Mosaic,"Brunch, Casual, Family Friendly, Halal, Mediterranean, Outdoor Seating"
36,2185.0,1351 H St NE,Washington,DC,20002,2019-11-05,38.8998897,-76.9866502,4.6,full_service,high,casual_fine_dining,Maketto,"Asian Fusion, DC Restaurant Week , Fine Dining, Group Dining, Healthy, Market, Outdoor Seating, Small Bites"
38,1872.0,86 Storrs Rd,Mansfield Center,CT,06226,2019-12-18,41.7339053,-72.1984394,4.4,unknown,mid,cafe,Coutner,
40,2579.0,500 W 6th St,Austin,TX,78701,2020-02-07,30.2696472,-97.7474845,4.3,full_service,mid,nightclub,Devil May Care,"Caviar, Champagne Bar, Club, Cocktail Bar, Cocktails, European, LGBTQ+ Friendly, Late Night, Live Shows, Locally Owned, Lounge, Mediterranean, Music, Oysters, Pescatarian, Salads, Seafood, Small Bites, Standout Wine List, Vegetarian, Vegetarian Friendly, Wine Bar"
41,1834.0,501 W 6 St,Austin,TX,78701,2020-02-07,30.2691893,-97.7476543,4.3,full_service,mid,casual_fine_dining,TenTen,"Asian, Asian Fusion, Cocktail Bar, Father's Day, Japanese, Music, Pescatarian, Seafood, Sushi, Takeout, Vegetarian Friendly, Whiskey Selection, Wine Bar"
45,773.0,722 K St.,Sacramento,CA,95814,2020-03-02,38.5799122,-121.49711,4.3,full_service,mid,bar,Tiger Bar & Restaurant,"Bar, Bottle Service, DJ, Dancing, Late Night, Lounge, Music, New American, Nightclub"
46,2218.0,730 K St,Sacramento,CA,95814,2020-03-02,38.5797107,-121.4969439,4.2,quick_service_restaurant,mid,cafe,Solomon’s Delicatessen,"Bagels, Bakery, Casual, Cocktail Bar, LGBTQ+ Friendly, Locally Owned, Outdoor Seating, Sandwiches"
47,1.0,3355 S Las Vegas Blvd #107,Las Vegas,NV,89109,2020-06-18,36.1243994,-115.1673316,4.5,full_service,mid,casual_fine_dining,Yardbird - Las Vegas,"American Fare, Brunch, Business Dining, Cocktail Bar, Comfort Food, Date Night, Family Friendly, Father's Day, Fine Dining, Fried Chicken, Group Dining, Highly Rated, James Beard Nominated, New American, Outdoor Seating, Pasta, Salads, Seafood, Southern, Standout Wine List, Vegetarian Friendly, Whiskey Selection, Wine Bar"
48,378.0,3355 S Las Vegas Blvd # 106,Las Vegas,NV,89109,2020-06-18,36.1225261,-115.1693928,4.4,full_service,mid,casual_fine_dining,CHICA - Las Vegas,"DJ, Date Night, Fine Dining, Latin American, Mexican, Music, Tapas"
49,1.0,1600 Lenox Ave,Miami Beach,FL,33139,2020-06-18,25.7890916,-80.1401542,4.6,full_service,mid,casual_fine_dining,Yardbird - Miami,"American Fare, Brunch, Business Dining, Cocktail Bar, Comfort Food, Date Night, Family Friendly, Father's Day, Fine Dining, Fried Chicken, Group Dining, Highly Rated, James Beard Nominated, New American, Outdoor Seating, Pasta, Salads, Seafood, Southern, Standout Wine List, Vegetarian Friendly, Whiskey Selection, Wine Bar"
51,1123.0,"1101 Pennsylvania Ave, SE",Washington,DC,20003,2020-07-09,38.8823254,-76.9912512,4.6,full_service,mid,casual_dining,Paraiso,"Cocktails, DC Restaurant Week , Group Dining, Mexican, Tacos"
54,1124.0,161 Steuart St,San Francisco,CA,94105,2020-08-19,37.7926439,-122.3922179,4.4,unknown,mid,fine_dining,Ozumo San Francisco,"Fine Dining, Omakase, Seafood, Sushi"
55,1124.0,355 Santana Row,San Jose,CA,95128,2020-08-19,37.320501,-121.9492219,4.0,unknown,mid,fine_dining,Ozumo Santana Row,"Fine Dining, Omakase, Seafood, Sushi"
56,2.0,51 Rainey St,Austin,TX,78701,2020-08-31,30.2572454,-97.7390816,4.0,full_service,low,casual_dining,Salvation Rainey,"Casual, Family Friendly, Father's Day, Gluten-Free, Group Dining, Italian, Outdoor Seating, Pasta, Pizza, Sports"
57,2.0,11501 Rock Rose,Austin,TX,78758,2020-08-31,30.4006723,-97.7227287,3.8,full_service,low,casual_dining,Salvation Domain,"Casual, Family Friendly, Father's Day, Gluten-Free, Group Dining, Italian, Outdoor Seating, Pasta, Pizza, Sports"
58,1.0,2121 N Pearl St Suite #170,Dallas,TX,75201,2020-09-18,32.7910802,-96.8012322,4.3,full_service,mid,casual_fine_dining,Yardbird - Dallas,"American Fare, Brunch, Business Dining, Cocktail Bar, Comfort Food, Date Night, Family Friendly, Father's Day, Fine Dining, Fried Chicken, Group Dining, Highly Rated, James Beard Nominated, New American, Outdoor Seating, Pasta, Salads, Seafood, Southern, Standout Wine List, Vegetarian Friendly, Whiskey Selection, Wine Bar"
59,379.0,31 SE 5th St,Miami,FL,33131,2020-09-30,25.7690651,-80.1917765,4.3,full_service,very_high,fine_dining,Elcielo Miami,"Bar, Date Night, Fine Dining, LGBTQ+ Friendly, Latin American, Outdoor Seating, Small Bites, Tapas"
60,379.0,1280 4th St NE,Washington,DC,20002,2020-09-30,38.9088799,-76.9997617,4.4,full_service,very_high,fine_dining,Elcielo DC,"Bar, Date Night, Fine Dining, LGBTQ+ Friendly, Latin American, Outdoor Seating, Small Bites, Tapas"
61,1469.0,164 Mott Street,New York,NY,10013,2020-10-09,40.7197049,-73.9960131,4.3,full_service,mid,casual_dining,Two Hands - Nolita,"Australian, Bar, Beer, Bowls, Breakfast, Brunch, Burgers, Cafe, Casual, Cocktails, Coffee, Coffee Shop, Comfort Food, Date Night, Family Friendly, Group Dining, Healthy, Highly Rated, Juice Bar, LGBTQ+ Friendly, NYC Restaurant Week, Outdoor Seating, Pescatarian, Pet Friendly, Quick Bites, Salads, Small Bites, Takeout, Vegan, Vegan Friendly, Vegetarian, Vegetarian Friendly, Wine, Wine Bar"
62,1469.0,251 Church Street,New York,NY,10013,2020-10-09,40.7178044,-74.0054369,4.4,full_service,mid,casual_dining,Two Hands - Tribeca,"Australian, Bar, Beer, Bowls, Breakfast, Brunch, Burgers, Cafe, Casual, Cocktails, Coffee, Coffee Shop, Comfort Food, Date Night, Family Friendly, Group Dining, Healthy, Highly Rated, Juice Bar, LGBTQ+ Friendly, NYC Restaurant Week, Outdoor Seating, Pescatarian, Pet Friendly, Quick Bites, Salads, Small Bites, Takeout, Vegan, Vegan Friendly, Vegetarian, Vegetarian Friendly, Wine, Wine Bar"
63,1469.0,262 Kent Avenue,Brooklyn,NY,11249,2020-10-09,40.7163544,-73.9661909,4.4,full_service,mid,casual_dining,Two Hands - Williamsburg,"Australian, Bar, Beer, Bowls, Breakfast, Brunch, Burgers, Cafe, Casual, Cocktails, Coffee, Coffee Shop, Comfort Food, Date Night, Family Friendly, Group Dining, Healthy, Highly Rated, Juice Bar, LGBTQ+ Friendly, NYC Restaurant Week, Outdoor Seating, Pescatarian, Pet Friendly, Quick Bites, Salads, Small Bites, Takeout, Vegan, Vegan Friendly, Vegetarian, Vegetarian Friendly, Wine, Wine Bar"
64,1469.0,74 Bleecker Street,New York,NY,10012,2020-10-09,40.7262603,-73.9956844,4.5,full_service,mid,casual_dining,Two Hands - NoHo,"Australian, Bar, Beer, Bowls, Breakfast, Brunch, Burgers, Cafe, Casual, Cocktails, Coffee, Coffee Shop, Comfort Food, Date Night, Family Friendly, Group Dining, Healthy, Highly Rated, Juice Bar, LGBTQ+ Friendly, NYC Restaurant Week, Outdoor Seating, Pescatarian, Pet Friendly, Quick Bites, Salads, Small Bites, Takeout, Vegan, Vegan Friendly, Vegetarian, Vegetarian Friendly, Wine, Wine Bar"
65,1469.0,1011 South Congress Avenue,Austin,TX,78704,2020-10-09,30.2534769,-97.7478877,4.4,full_service,mid,casual_dining,Two Hands - Austin South Congress,"Australian, Bar, Beer, Bowls, Breakfast, Brunch, Burgers, Cafe, Casual, Cocktails, Coffee, Coffee Shop, Comfort Food, Date Night, Family Friendly, Group Dining, Healthy, Highly Rated, Juice Bar, LGBTQ+ Friendly, NYC Restaurant Week, Outdoor Seating, Pescatarian, Pet Friendly, Quick Bites, Salads, Small Bites, Takeout, Vegan, Vegan Friendly, Vegetarian, Vegetarian Friendly, Wine, Wine Bar"
66,2186.0,1301 East Blvd,Charlotte,NC,28203,2020-11-27,35.2020354,-80.8444822,4.5,full_service,mid,casual_dining,Bakersfield - Charlotte,"Bar, Brunch, Casual, Cocktail Bar, Late Night, Mexican, Outdoor Seating"
67,2186.0,1213 Vine St,Cincinnati,OH,45202,2020-11-27,39.1087069,-84.5150251,4.5,full_service,mid,casual_dining,Bakersfield - Cincinnati,"Bar, Brunch, Casual, Cocktail Bar, Late Night, Mexican, Outdoor Seating"
68,2186.0,733 N. High St,Columbus,OH,43215,2020-11-27,39.9773253,-83.0038264,4.5,full_service,mid,casual_dining,Bakersfield - Columbus,"Bar, Brunch, Casual, Cocktail Bar, Late Night, Mexican, Outdoor Seating"
69,2186.0,3100 Woodward Ave,Detroit,MI,48201,2020-11-27,42.3452178,-83.055715,4.4,full_service,mid,casual_dining,Bakersfield - Detroit,"Bar, Brunch, Casual, Cocktail Bar, Late Night, Mexican, Outdoor Seating"
70,2186.0,334 Massachusetts Ave,Indianapolis,IN,46204,2020-11-27,39.7719563,-86.1536277,4.5,full_service,mid,casual_dining,Bakersfield - Indianapolis,"Bar, Brunch, Casual, Cocktail Bar, Late Night, Mexican, Outdoor Seating"
71,2186.0,201 3rd Ave,Nashville,TN,37201,2020-11-27,36.159315,-86.774727,4.5,full_service,mid,casual_dining,Bakersfield - Nashville,"Bar, Brunch, Casual, Cocktail Bar, Late Night, Mexican, Outdoor Seating"
72,2186.0,940 Penn Ave,Pittsburgh,PA,15222,2020-11-27,40.4440394,-79.9966117,4.5,full_service,mid,casual_dining,Bakersfield - Pittsburgh,"Bar, Brunch, Casual, Cocktail Bar, Late Night, Mexican, Outdoor Seating"
73,381.0,1344 Vine St,Cincinnati,OH,45202,2020-11-27,39.1108708,-84.5151728,4.2,full_service,low,casual_dining,City Bird - Downtown,"American Fare, Family Friendly, Fried Chicken, Late Night, Quick Bites, Small Bites"
74,381.0,"11309 Montgomery Rd, Suite D",Cincinnati,OH,45249,2020-11-27,39.2707681,-84.3298614,4.3,full_service,low,casual_dining,City Bird - Harper's Point,"American Fare, Family Friendly, Fried Chicken, Late Night, Quick Bites, Small Bites"
75,381.0,7893 Beechmont Ave,Cincinnati,OH,45255,2020-11-27,39.0723916,-84.3376277,4.1,full_service,low,casual_dining,City Bird - Beechmont,"American Fare, Family Friendly, Fried Chicken, Late Night, Quick Bites, Small Bites"
76,381.0,2887 Dixie Hwy,Crestview Hills,KY,41017,2020-11-27,39.024653,-84.579626,4.2,full_service,low,casual_dining,City Bird - Crestview,"American Fare, Family Friendly, Fried Chicken, Late Night, Quick Bites, Small Bites"
77,382.0,1342 Vine St,Cincinnati,OH,45202,2020-11-27,39.1107055,-84.5152463,4.6,full_service,mid,casual_dining,The Eagle - Cincinnati,"Casual, Cocktail Bar, Family Friendly, Fried Chicken, Outdoor Seating, Southern, Sports"
78,382.0,790 N. High Street,Columbus,OH,43215,2020-11-27,39.9785959,-83.0032149,4.5,full_service,mid,casual_dining,The Eagle - Columbus,"Casual, Cocktail Bar, Family Friendly, Fried Chicken, Outdoor Seating, Southern, Sports"
79,382.0,310 Massachusetts Ave,Indianapolis,IN,46204,2020-11-27,39.7718129,-86.1539722,4.5,full_service,mid,casual_dining,The Eagle - Indianapolis,"Casual, Cocktail Bar, Family Friendly, Fried Chicken, Outdoor Seating, Southern, Sports"
80,382.0,314 Bardstown Rd,Louisville,KY,40204,2020-11-27,38.2400454,-85.7239287,4.5,full_service,mid,casual_dining,The Eagle - Louisville,"Casual, Cocktail Bar, Family Friendly, Fried Chicken, Outdoor Seating, Southern, Sports"
81,382.0,"2100 South Blvd, Suite 120-A",Charlotte,NC,28203,2020-11-27,35.2081638,-80.8609104,4.5,full_service,mid,casual_dining,The Eagle - Charlotte,"Casual, Cocktail Bar, Family Friendly, Fried Chicken, Outdoor Seating, Southern, Sports"
82,382.0,"737 Penn Ave, Space 2",Pittsburgh,PA,15222,2020-11-27,40.4437012,-79.9996632,4.4,full_service,mid,casual_dining,The Eagle - Pittsburgh,"Casual, Cocktail Bar, Family Friendly, Fried Chicken, Outdoor Seating, Southern, Sports"
83,2187.0,1313 Vine Street,Cincinnati,OH,45202,2020-11-27,39.1098886,-84.5156067,4.5,full_service,mid,casual_dining,Krueger's Tavern,"Cocktail Bar, New American, Outdoor Seating, Rooftop, Sports"
84,1840.0,525 Race St,Cincinnati,OH,45202,2020-11-27,39.1015132,-84.5151132,4.6,full_service,mid,casual_dining,Maplewood - Cincinnati,"Bar, Cafe, Casual, New American, Small Bites"
86,2188.0,1501 Vine St,Cincinnati,OH,45202,2020-11-27,39.1117972,-84.5160336,4.7,full_service,mid,casual_fine_dining,Pepp & Dolores,"Bar, Date Night, Family Friendly, Group Dining, Italian, Outdoor Seating, Pasta"
87,749.0,17-A East High St,Oxford,OH,45056,2020-11-27,39.5102624,-84.7419136,4.4,fast_casual,low,fast_casual,SoHi,"Casual, Family Friendly, Outdoor Seating, Pet Friendly, Quick Bites, Sandwiches"
88,383.0,8060 Montgomery Rd,Cincinnati,OH,45236,2020-11-27,39.2018593,-84.3712627,4.5,fast_casual,low,fast_casual,Currito - Kenwood,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
89,383.0,3654 Edwards Rd,Cincinnati,OH,45208,2020-11-27,39.1442883,-84.4423962,4.5,fast_casual,low,fast_casual,Currito - Hyde Park,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
90,383.0,"11309 Montgomery Rd, Suite C",Cincinnati,OH,45249,2020-11-27,39.2707681,-84.3298614,4.4,fast_casual,low,fast_casual,Currito -Harper's Point,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
91,383.0,9525 Kenwood Rd,Blue Ash,OH,45242,2020-11-27,39.2310444,-84.378616,4.5,fast_casual,low,fast_casual,Currito - Blue Ash,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
92,383.0,7687 Doc Dr,West Chester,OH,45069,2020-11-27,39.3539295,-84.3679438,4.7,fast_casual,low,fast_casual,Currito - Tylersville,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
93,383.0,222 Calhoun St,Cincinnati,OH,45219,2020-11-27,39.1284904,-84.5160064,4.3,fast_casual,low,fast_casual,Currito - University of Cincinnati,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
94,383.0,1625 Herald Ave,Cincinnati,OH,45207,2020-11-27,39.1483094,-84.4729208,4.1,fast_casual,low,fast_casual,Currito - Xavier University,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
95,378.0,5556 NE 4th Court,Miami,FL,33137,2020-12-13,25.8270531,-80.187354,4.2,full_service,mid,casual_fine_dining,CHICA - Miami,"DJ, Date Night, Fine Dining, Latin American, Mexican, Music, Tapas"
96,383.0,111 E. 5th St,Cincinnati,OH,45202,2021-01-01,39.1012267,-84.5108844,4.3,fast_casual,low,fast_casual,Currito - 5th St,"American Fare, Brunch, Casual, Family Friendly, Group Dining, Healthy, Outdoor Seating"
106,5.0,1009 Abbot Kinney Blvd,Venice,CA,90291,2021-02-02,33.9923466,-118.4724091,4.5,unknown,high,fine_dining,FOOD FUTURE INSTITUTE,
107,2183.0,1500 Barton Springs Road,Austin,TX,78704,2021-03-11,30.2617914,-97.760102,4.3,unknown,mid,casual_fine_dining,Juliet Italian Kitchen - Barton Springs,"Family Friendly, Fine Dining, Italian, LGBTQ+ Friendly, Outdoor Seating, Pasta, Pizza, Small Bites"
108,2183.0,10000 Research Blvd,Austin,TX,78759,2021-03-11,30.3922683,-97.7482011,4.0,unknown,mid,casual_fine_dining,Juliet Italian Kitchen - Arboretum,"Family Friendly, Fine Dining, Italian, LGBTQ+ Friendly, Outdoor Seating, Pasta, Pizza, Small Bites"
109,1832.0,301 Mission St,San Francisco,CA,94105,2021-03-15,37.7903824,-122.3961531,4.2,full_service,high,fine_dining,International Smoke - SF,"Cocktail Bar, Family Friendly, Father's Day, Fine Dining, Fusion, New American, Standout Wine List"
110,2182.0,101 California St,San Francisco,CA,94111,2021-03-15,37.7927653,-122.3979675,4.4,full_service,high,fine_dining,PABU Izakaya - SF,"Cocktail Bar, Date Night, Father's Day, Fine Dining, Fusion, Japanese, Standout Wine List"
114,747.0,252 California Street,San Francisco,CA,94111,2021-03-15,37.7934609,-122.3996416,4.4,full_service,high,fine_dining,Estiatorio Ornos - SF,"Bar, Cocktail Bar, Family Friendly, Fine Dining, Mediterranean, Seafood, Tasting Menu"
115,751.0,164 E Grand Ave,Chicago,IL,60611,2021-03-18,41.8920666,-87.6229186,4.7,full_service,high,casual_fine_dining,The Hampton Social - Streeterville,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
116,751.0,100 W. Higgins Rd.,S. Barrington,IL,60010,2021-03-18,42.0748915,-88.1825646,4.6,full_service,high,casual_fine_dining,The Hampton Social - S. Barrington,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
117,751.0,201 1st. Ave S.,Nashville,TN,37201,2021-03-18,36.1599591,-86.7732544,4.8,full_service,high,casual_fine_dining,The Hampton Social - Nashville,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
118,751.0,9114 Strada Pl.,Naples,FL,34108,2021-03-18,26.2529083,-81.7996599,4.5,full_service,high,casual_fine_dining,The Hampton Social - Naples,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
119,751.0,9101 International Dr.,Orlando,FL,32819,2021-03-18,28.4337358,-81.4699511,4.7,full_service,high,casual_fine_dining,The Hampton Social - Orlando,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
120,751.0,353 W. Hubbard St.,Chicago,IL,60654,2021-03-18,41.889815,-87.6378737,4.7,full_service,high,casual_fine_dining,The Hampton Social - River North,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
121,751.0,4999 Old Orchard Center,Skokie,IL,60077,2021-03-18,42.0615141,-87.7490376,4.5,full_service,high,casual_fine_dining,The Hampton Social - Skokie,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
122,751.0,705 Village Center Dr.,Burr Ridge,IL,60527,2021-03-18,41.7538531,-87.9124958,4.6,full_service,high,casual_fine_dining,The Hampton Social - Burr Ridge,"Casual, Cocktails, Group Dining, Late Night, New American, Seafood"
123,7.0,353 W. Hubbard St.,Chicago,IL,60654,2021-03-18,41.889815,-87.6378737,4.4,full_service,high,nightclub,Bassment - River North,"Bar, Dancing, Date Night, Group Dining, Live Shows, Lounge, Music"
124,1.0,901 New York Ave NW,Washington,DC,20001,2021-03-27,38.9019902,-77.0252236,4.2,full_service,mid,casual_fine_dining,"Yardbird - Washington, DC","American Fare, Brunch, Business Dining, Cocktail Bar, Comfort Food, Date Night, Family Friendly, Father's Day, Fine Dining, Fried Chicken, Group Dining, Highly Rated, James Beard Nominated, New American, Outdoor Seating, Pasta, Salads, Seafood, Southern, Standout Wine List, Vegetarian Friendly, Whiskey Selection, Wine Bar"
126,1496.0,1742 N Loop 1604 E Suite 123,San Antonio,TX,78232,2021-04-12,29.6062407,-98.4646132,4.5,fast_casual,low,casual_dining,Stout’s Pizza Co. Northwoods,"Bar, Casual, Family Friendly, Outdoor Seating, Pet Friendly, Pizza, Salads"
127,1496.0,1850 W St Hwy 46 Suite 101,New Braunfels,TX,78132,2021-04-12,29.7199832,-98.1643718,4.4,fast_casual,low,casual_dining,Stout’s Pizza Co. Oakrun,"Bar, Casual, Family Friendly, Outdoor Seating, Pet Friendly, Pizza, Salads"
128,1496.0,7915 W Loop 1604 N Suite 114,San Antonio,TX,78254,2021-04-12,29.5136976,-98.6969378,4.4,fast_casual,low,casual_dining,Stout’s Pizza Co. Shaenfield,"Bar, Casual, Family Friendly, Outdoor Seating, Pet Friendly, Pizza, Salads"
129,2610.0,10587 US-290,Fredericksburg,TX,78624,2021-04-12,30.2211364,-98.7207812,4.5,full_service,low,casual_fine_dining,Stout’s Signature Grape Creek,"American Fare, Bar, Casual, Cocktail Bar, Date Night, Group Dining, Pizza, Standout Wine List"
130,2610.0,227 Fourth St,San Antonio,TX,78205,2021-04-12,29.4300416,-98.4867203,5.0,full_service,low,casual_fine_dining,Stout’s Signature Tobin,"American Fare, Bar, Casual, Cocktail Bar, Date Night, Group Dining, Pizza, Standout Wine List"
131,1496.0,10222 W Military Drive Suite 110,San Antonio,TX,78251,2021-04-12,29.4490691,-98.6860325,4.2,fast_casual,low,casual_dining,Stout’s Pizza Co.,"Bar, Casual, Family Friendly, Outdoor Seating, Pet Friendly, Pizza, Salads"
133,2211.0,3210 Grace Street NW,Washington,DC,20007,2021-04-20,38.9037887,-77.063507,5.0,quick_service_restaurant,low,cafe,High Road Cycling,"Cafe, Coffee Shop, Quick Bites, Salads, Sandwiches, Small Bites"
134,1468.0,2622 P St NW,Washington,DC,20007,2021-04-20,38.909219,-77.0554907,4.6,full_service,high,casual_fine_dining,Apéro,"Brunch, Caviar, Champagne Bar, Cocktail Bar, French, Oysters, Quick Bites, Smoothies, Wine Bar, Winery, Woman-Operated"
136,406.0,216 S King St,Leesburg,VA,20175,2021-05-03,39.1126055,-77.5656361,4.5,quick_service_restaurant,very_low,coffee_shop,Goosecup,"Cafe, Casual, Coffee Shop, Outdoor Seating, Quick Bites, Small Bites, Woman-Operated"
139,757.0,201 Spear St #120,San Francisco,CA,94105,2021-05-06,37.791067,-122.3919842,4.5,unknown,high,fine_dining,The Wild,"Cocktails, Farm To Table, Fine Dining, Whiskey Selection"
140,21.0,"4238 Wilson Blvd, Suite 102",Arlington,VA,22203,2021-05-06,38.8788373,-77.1109904,4.5,fast_casual,very_low,fast_casual,Superette,"American Fare, Bar, Casual, Family Friendly, Outdoor Seating, Salads, Sandwiches, Woman-Operated"
141,1490.0,1602 E Houston St,San Antonio,TX,78202,2021-05-06,29.4247459,-98.473075,4.9,quick_service_restaurant,mid,grocery_or_market,The Farmer's Butcher,
142,8.0,565 Bryant St,Palo Alto,CA,94301,2021-05-06,37.445363,-122.1604155,4.5,full_service,high,casual_fine_dining,Zola,"Cocktails, Date Night, Fine Dining, French, Highly Rated, Late Night, Standout Wine List"
143,1835.0,1320 H St NE,Washington,DC,20002,2021-05-06,38.9004226,-76.9874602,4.5,unknown,mid,casual_fine_dining,Thamee,
144,10.0,565 W Fairbanks Ave,Winter Park,FL,32789,2021-05-06,28.5933844,-81.3559685,4.5,full_service,mid,casual_dining,The Ravenous Pig,"American Fare, Bib Gourmand, Brewery, Brunch, Family Friendly, GastroPub, Group Dining, James Beard Nominated, Outdoor Seating, Pizza, Seafood, Woman-Operated"
145,2593.0,78 Rainey St,Austin,TX,78701,2021-05-06,30.2589786,-97.7389331,3.9,unknown,mid,bar,Reina + Hey ReyRey,
146,1484.0,704 NW 21st Ave,Portland,OR,97209,2021-05-06,45.5278526,-122.6942522,4.4,unknown,mid,casual_dining,Bhuna,"Bar, Cocktails, Indian, Locally Owned, Wine"
147,2190.0,391 Norse St NE,Washington,DC,20002,2021-05-06,38.907829,-77.0004642,4.4,quick_service_restaurant,very_low,coffee_shop,Pluma – Union Market,"Bakery, Casual, Coffee Shop, Family Friendly, Quick Bites, Sandwiches"
150,1896.0,3201 Cherry Hill Ln,Washington,DC,20007,2021-05-06,38.9037111,-77.0633417,4.6,full_service,high,fine_dining,Reverie,"Cocktail Bar, DC Restaurant Week , Date Night, Fine Dining, Highly Rated, Michelin Starred, New American, Outdoor Seating, Pescatarian, Seafood, Tasting Menu, Wine"
151,1483.0,422 Guadalupe St,Austin,TX,78701,2021-05-06,30.2679131,-97.7472723,4.1,quick_service_restaurant,low,cafe,Rosen's Bagels,"Bagels, Bakery, Cafe, Casual, Family Friendly, Small Bites"
